game_id,season,week,posteam,player_id,player_name,rz_touches,rz_rush_touches,rz_target_touches,rz_tds,i10_touches,i10_rush_touches,i10_target_touches,i10_tds,gl_touches,gl_rush_touches,gl_target_touches,gl_tds,team_rz_touches,rz_touch_share,offense_snaps,team_offense_snaps,snap_share,position_group,depth_rank,ahead_injury_statuses,defteam,roof,temp,wind,allowed_rz_touches_last1,allowed_rz_touches_last3,allowed_rz_touches_last5,allowed_rz_touches_season_avg,allowed_rz_tds_last1,allowed_rz_tds_last3,allowed_rz_tds_last5,allowed_rz_tds_season_avg,allowed_i10_touches_last1,allowed_i10_touches_last3,allowed_i10_touches_last5,allowed_i10_touches_season_avg,allowed_i10_tds_last1,allowed_i10_tds_last3,allowed_i10_tds_last5,allowed_i10_tds_season_avg,allowed_gl_touches_last1,allowed_gl_touches_last3,allowed_gl_touches_last5,allowed_gl_touches_season_avg,allowed_gl_tds_last1,allowed_gl_tds_last3,allowed_gl_tds_last5,allowed_gl_tds_season_avg,allowed_cum_gl_touches,allowed_cum_gl_tds,allowed_cum_i10_touches,allowed_cum_i10_tds,allowed_cum_rz_touches,allowed_cum_rz_tds,allowed_season_total_rz_touches_allowed,rz_touches_last1,rz_touches_last3,rz_touches_last5,rz_touches_season_avg,rz_touch_share_last1,rz_touch_share_last3,rz_touch_share_last5,rz_touch_share_season_avg,rz_tds_last1,rz_tds_last3,rz_tds_last5,rz_tds_season_avg,snap_share_last1,snap_share_last3,snap_share_last5,snap_share_season_avg,recent_td_production_pct,conversion_rate_pct,proven_heat,touch_share_trend_pct,snap_share_trend_pct,touch_volume_trend_pct,emerging_heat,td_opportunity,td_opportunity_completeness,touch_share_trend_pct_role,snap_share_trend_pct_role,depth_chart_movement_pct,role_trend,external_opportunity,role_momentum,role_momentum_completeness,recent_tds_allowed_pct,conversion_rate_allowed_pct,defensive_matchup_vulnerability,environment_score,situation,situation_completeness,evidence_completeness,evidence_convergence,evidence_quality,core_score,confidence_multiplier,tpe_score,n_books,best_price,best_book,consensus_implied_probability,consensus_price_american,market_value_score,market_value_completeness
2026_01_ATL_PIT,2026,1,ATL,00-0032392,Austin Hooper,,,,,,,,,,,,,,,,,,TE,2.0,[],PIT,outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,50.0,49.1,37.5,22.5,91.9,45.5,52.8,0.728,38.4,,,,,,,
2026_01_CHI_CAR,2026,1,CHI,00-0032464,Kalif Raymond,,,,,,,,,,,,,,,,,,WR,3.0,[],CAR,outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,50.0,49.1,37.5,22.5,91.9,45.5,52.8,0.728,38.4,,,,,,,
2026_01_BAL_IND,2026,1,BAL,00-0032764,Derrick Henry,,,,,,,,,,,,,,,,,,RB,1.0,[],IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,50.0,49.1,37.5,22.5,91.9,45.5,52.8,0.728,38.4,,,,,,,
2026_01_SF_LA,2026,1,SF,00-0032775,Demarcus Robinson,,,,,,,,,,,,,,,,,,WR,5.0,[],LA,dome,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,100.0,64.1,50.0,26.7,85.9,47.9,57.1,0.74,42.2,,,,,,,
2026_01_GB_MIN,2026,1,MIN,00-0032918,C.J. Ham,,,,,,,,,,,,,,,,,,RB,,[],GB,dome,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,100.0,64.1,50.0,26.7,85.9,47.9,57.1,0.74,42.2,,,,,,,
2026_01_BAL_IND,2026,1,IND,00-0032951,Laquon Treadwell,,,,,,,,,,,,,,,,,,WR,6.0,[],BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,50.0,49.1,37.5,22.5,91.9,45.5,52.8,0.728,38.4,,,,,,,
2026_01_NE_SEA,2026,1,NE,00-0033090,Hunter Henry,,,,,,,,,,,,,,,,,,TE,1.0,[],SEA,outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,50.0,49.1,37.5,22.5,91.9,45.5,53.3,0.728,38.8,1.0,270.0,DraftKings,0.2702702702702703,270.0,55.0,100.0
2026_01_SF_LA,2026,1,LA,00-0033110,Tyler Higbee,,,,,,,,,,,,,,,,,,TE,2.0,[],SF,dome,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,100.0,64.1,50.0,26.7,85.9,47.9,57.1,0.74,42.2,,,,,,,
2026_01_BAL_IND,2026,1,IND,00-0033217,Mo Alie-Cox,,,,,,,,,,,,,,,,,,TE,2.0,[],BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,50.0,49.1,37.5,22.5,91.9,45.5,52.8,0.728,38.4,,,,,,,
2026_01_WAS_PHI,2026,1,PHI,00-0033246,Johnny Mundt,,,,,,,,,,,,,,,,,,TE,3.0,[],WAS,outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,50.0,45.2,48.1,50.0,50.0,50.0,50.0,57.2,30.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,46.9,48.8,50.0,49.1,37.5,22.5,91.9,45.5,52.8,0.728,38.4,,,,,,,
